symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,State,Date first added,CIK,Founded,id,class,exchange,name,status,tradable,marginable,shortable,easy_to_borrow,fractionable
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,North Reading, Massachusetts,9/21/2020,97210,1960,abb494ba-b24a-46bc-b050-2128e3303f60,us_equity,NASDAQ,"Teradyne, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
CERN,Cerner,reports,Health Care,Health Care Technology,North Kansas City, Missouri,4/30/2010,804753,1979,26c5f04d-d196-4e12-b5f4-88c1be05a25c,us_equity,NASDAQ,Cerner Corporation Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago, Illinois,3/31/1964,1800,1888,a097c03a-7ebe-4de6-b729-a82370cd2a6e,us_equity,NYSE,Abbott Laboratories,active,TRUE,TRUE,TRUE,TRUE,TRUE
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,12/31/2012,1551152,2013 (1888),09a51104-980a-47b6-ad4d-e4f04059be4a,us_equity,NYSE,ABBVIE INC.,active,TRUE,TRUE,TRUE,TRUE,TRUE
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,Norfolk, Virginia,3/4/1957,702165,1881/1894 (1980),477b4ce8-cdd7-48b8-9c40-e64e37bbeadd,us_equity,NYSE,Norfolk Southern Corp.,active,TRUE,TRUE,TRUE,TRUE,TRUE
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,Norcross, Georgia,6/20/2018,1175454,2000,0715eae9-ff6b-4a55-a439-cd9dd3de6d62,us_equity,NYSE,"FleetCor Technologies, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,Newport News, Virginia,1/3/2018,1501585,2011,54ec2f34-daa8-4f4c-a572-e53f2ebfcf12,us_equity,NYSE,"Huntington Ingalls Industries, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,Newport Beach, California,4/28/2011,1058090,1993,a3e21504-59e3-4f4b-8f9c-86a569bdf842,us_equity,NYSE,"Chipotle Mexican Grill, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,Newark, New Jersey,7/22/2002,1137774,1875,830538b2-f315-42e8-a9d6-1b12e539c5ff,us_equity,NYSE,"Prudential Financial, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
PEG,Public Service Enterprise Group (PSEG),reports,Utilities,Electric Utilities,Newark, New Jersey,3/4/1957,788784,1903,7f712a83-dc6a-4d5d-bf2a-c52705a06905,us_equity,NYSE,Public Service Enterprise Group Incorporated,active,TRUE,TRUE,TRUE,TRUE,TRUE
